Table name,State,District,Area Name,Last residence,"Last residence
Total/Rural/Urban/Country","Place of enumeration
Total/Rural/Urban",Total migrants-Persons,Total migrants-Males,Total migrants-Females,Duration (<1 year)-Persons,Duration (<1 year)-Males,Duration (<1 year)-Females,Duration (1-4 years)-Persons,Duration (1-4 years)-Males,Duration (1-4 years)-Females,Duration (5-9 years)-Persons,Duration (5-9 years)-Males,Duration (5-9 years)-Females,Duration (10-19 years)-Persons,Duration (10-19 years)-Males,Duration (10-19 years)-Females,Duration (20+ years)-Persons,Duration (20+ years)-Males,Duration (20+ years)-Females,Duration (not stated)-Persons,Duration (not stated)-Males,Duration (not stated)-Females
D0302,0.0,0.0,INDIA,Total,Total,Total,455787621.0,146145967.0,309641654.0,17586044.0,7805017.0,9781027.0,63893251.0,21283776.0,42609475.0,60428975.0,18425569.0,42003406.0,94713188.0,25979400.0,68733788.0,146421501.0,35148111.0,111273390.0,72744662.0,37504094.0,35240568.0
D0302,0.0,0.0,INDIA,Total,Total,Rural,278203361.0,64703974.0,213499387.0,9786106.0,3916525.0,5869581.0,34944291.0,8139533.0,26804758.0,34511589.0,6876803.0,27634786.0,57728193.0,9894435.0,47833758.0,98989422.0,14186384.0,84803038.0,42243760.0,21690294.0,20553466.0
D0302,0.0,0.0,INDIA,Total,Total,Urban,177584260.0,81441993.0,96142267.0,7799938.0,3888492.0,3911446.0,28948960.0,13144243.0,15804717.0,25917386.0,11548766.0,14368620.0,36984995.0,16084965.0,20900030.0,47432079.0,20961727.0,26470352.0,30500902.0,15813800.0,14687102.0
D0302,0.0,0.0,INDIA,Last residence within India,Total,Total,449917418.0,143467652.0,306449766.0,17366706.0,7676760.0,9689946.0,63340666.0,21044225.0,42296441.0,59953065.0,18239698.0,41713367.0,93880994.0,25665354.0,68215640.0,143269910.0,33680536.0,109589374.0,72106077.0,37161079.0,34944998.0
D0302,0.0,0.0,INDIA,Last residence within India,Total,Rural,275416210.0,63588085.0,211828125.0,9685689.0,3856920.0,5828769.0,34716308.0,8063533.0,26652775.0,34294890.0,6816901.0,27477989.0,57311368.0,9778290.0,47533078.0,97476022.0,13554521.0,83921501.0,41931933.0,21517920.0,20414013.0
D0302,0.0,0.0,INDIA,Last residence within India,Total,Urban,174501208.0,79879567.0,94621641.0,7681017.0,3819840.0,3861177.0,28624358.0,12980692.0,15643666.0,25658175.0,11422797.0,14235378.0,36569626.0,15887064.0,20682562.0,45793888.0,20126015.0,25667873.0,30174144.0,15643159.0,14530985.0
D0302,0.0,0.0,INDIA,Last residence within India,Rural,Total,291960709.0,72214492.0,219746217.0,10755902.0,4494758.0,6261144.0,41628067.0,11999353.0,29628714.0,41151931.0,10683830.0,30468101.0,68370418.0,15878227.0,52492191.0,111704816.0,21796759.0,89908057.0,18349575.0,7361565.0,10988010.0
D0302,0.0,0.0,INDIA,Last residence within India,Rural,Rural,213759232.0,36841723.0,176917509.0,7193436.0,2674514.0,4518922.0,27984566.0,5706476.0,22278090.0,28434336.0,4914365.0,23519971.0,49302557.0,7398481.0,41904076.0,87340066.0,11074343.0,76265723.0,13504271.0,5073544.0,8430727.0
D0302,0.0,0.0,INDIA,Last residence within India,Rural,Urban,78201477.0,35372769.0,42828708.0,3562466.0,1820244.0,1742222.0,13643501.0,6292877.0,7350624.0,12717595.0,5769465.0,6948130.0,19067861.0,8479746.0,10588115.0,24364750.0,10722416.0,13642334.0,4845304.0,2288021.0,2557283.0
D0302,0.0,0.0,INDIA,Last residence within India,Urban,Total,105075338.0,45334257.0,59741081.0,5736082.0,2824291.0,2911791.0,18996803.0,8208373.0,10788430.0,16345025.0,6829337.0,9515688.0,22033072.0,8825061.0,13208011.0,25694559.0,10368346.0,15326213.0,16269797.0,8278849.0,7990948.0
D0302,0.0,0.0,INDIA,Last residence within India,Urban,Rural,26975221.0,10137722.0,16837499.0,1969216.0,995426.0,973790.0,5125474.0,2004236.0,3121238.0,4382466.0,1597554.0,2784912.0,5847634.0,1974769.0,3872865.0,6132014.0,1783846.0,4348168.0,3518417.0,1781891.0,1736526.0
D0302,0.0,0.0,INDIA,Last residence within India,Urban,Urban,78100117.0,35196535.0,42903582.0,3766866.0,1828865.0,1938001.0,13871329.0,6204137.0,7667192.0,11962559.0,5231783.0,6730776.0,16185438.0,6850292.0,9335146.0,19562545.0,8584500.0,10978045.0,12751380.0,6496958.0,6254422.0
