Table name,State,District,Area Name
D0302,1,0,State - JAMMU & KASHMIR (01)
D0302,2,0,State - HIMACHAL PRADESH (02)
D0302,3,0,State - PUNJAB (03)
D0302,4,0,State - CHANDIGARH (04)
D0302,5,0,State - UTTARAKHAND (05)
D0302,6,0,State - HARYANA (06)
D0302,7,0,State - NCT OF DELHI (07)
D0302,8,0,State - RAJASTHAN (08)
D0302,9,0,State - UTTAR PRADESH (09)
D0302,10,0,State - BIHAR (10)
D0302,11,0,State - SIKKIM (11)
D0302,12,0,State - ARUNACHAL PRADESH (12)
D0302,13,0,State - NAGALAND (13)
D0302,14,0,State - MANIPUR (14)
D0302,15,0,State - MIZORAM (15)
D0302,16,0,State - TRIPURA (16)
D0302,17,0,State - MEGHALAYA (17)
D0302,18,0,State - ASSAM (18)
D0302,19,0,State - WEST BENGAL (19)
D0302,20,0,State - JHARKHAND (20)
D0302,21,0,State - ODISHA (21)
D0302,22,0,State - CHHATTISGARH (22)
D0302,23,0,State - MADHYA PRADESH (23)
D0302,24,0,State - GUJARAT (24)
D0302,25,0,State - DAMAN & DIU (25)
D0302,26,0,State - DADRA & NAGAR HAVELI (26)
D0302,27,0,State - MAHARASHTRA (27)
D0302,28,0,State - ANDHRA PRADESH (28)
D0302,29,0,State - KARNATAKA (29)
D0302,30,0,State - GOA (30)
D0302,31,0,State - LAKSHADWEEP (31)
D0302,32,0,State - KERALA (32)
D0302,33,0,State - TAMIL NADU (33)
D0302,34,0,State - PUDUCHERRY (34)
D0302,35,0,State - ANDAMAN & NICOBAR ISLANDS (35)
