ID;Q_(1.1.1.);Q_(1.2.1.);Q_(1.2.2.);Q_(1.3.1.);Q_(1.3.2.);Q_(1.3.3.);Q_(1.4.1.);Q_(1.5.1.);Q_(1.6.1.);Q_(1.6.2.);Q_(1.6.3.);Q_(1.7.1.);Q_(1.7.2.);Q_(1.7.3.);Q_(1.7.4.);Q_(2.1.1.);Q_(2.1.2.);Q_(2.1.3.);Q_(2.1.4.);Q_(2.2.2.);Q_(2.3.1.);Q_(2.4.1.);Q_(2.5.1.);Q_(2.5.2.);Q_(2.5.3.);Q_(3.1.1.);Q_(3.1.2.);Q_(3.1.3.);Q_(3.2.1.);Q_(3.3.1.);Q_(3.3.2.);Q_(3.3.3.);Q_(3.4.1.);Q_(3.5.1.);Q_(3.5.2.);Q_(3.5.3.);Q_(4.1.1.);Q_(4.1.2.);Q_(4.2.1.);Q_(4.2.2.);Q_(4.2.3.);Q_(4.3.1.);Q_(4.3.2.);Q_(4.3.3.);Q_(4.3.4.);Q_(4.3.5.);Q_(4.4.1.);Q_(4.4.2.);Q_(4.5.1.);Q_(4.5.2.);Q_(4.5.3.);Q_(4.6.1.);Q_(4.6.2.);Q_(5.1.1.);Q_(5.1.2.);Q_(5.1.3.);Q_(5.2.1.);Q_(5.2.2.);Q_(5.2.3.);R_SP1;R_SP2;R_CC1;R_CC2;R_PS1;R_PS2;R_OF1;R_OF2;R_BC1;R_BC2;R_BC3;R_BC4;R_BC5;R_BC6;R_LD1
12;4;3;2;1;2;2;2;2;2;2;2;2;3;3;3;3;1;3;3;2;2;2;2;4;3;1;1;2;2;1;2;2;2;1;1;1;1;1;2;2;2;2;5;4;3;5;2;2;2;1;2;3;1;1;1;1;2;2;2;2;3;3;2;2;1;2;2;3;2;1;2;3;2;3
9;5;5;4;5;4;4;3;5;3;4;3;2;3;4;2;2;5;4;4;3;1;3;5;5;5;3;4;4;2;3;6;5;6;2;3;4;4;3;4;4;5;4;5;6;5;4;6;5;5;6;5;5;3;2;5;5;6;4;3;5;5;5;3;5;3;4;5;2;3;2;4;3;4;7
7;5;5;4;2;2;3;2;3;3;3;3;2;3;2;3;2;3;4;4;6;3;3;2;5;4;2;1;2;1;1;5;3;5;2;2;1;2;1;4;4;2;2;1;1;1;1;1;1;2;3;6;2;2;3;3;2;4;3;3;5;4;5;3;3;2;3;3;4;4;2;2;4;3;2
14;5;5;6;1;2;1;1;2;1;5;5;7;5;1;4;7;2;7;6;5;2;5;;6;6;5;5;4;2;2;7;6;7;1;;2;5;6;7;7;5;3;;1;2;1;2;;3;5;;2;5;1;1;5;4;2;4;6;4;6;6;3;2;7;6;2;6;2;5;2;7;6
21;6;;;2;;;;4;3;2;5;3;2;3;;4;;4;5;;2;;4;;;4;6;6;4;4;4;3;4;5;6;3;5;4;5;6;4;3;4;;;;;;3;4;7;;5;6;4;;5;6;3;5;5;5;4;5;5;6;5;6;6;6;5;6;5;5
22;4;4;4;6;7;6;5;5;4;5;3;4;4;2;3;;;2;2;;4;4;4;7;7;5;5;;5;4;6;5;6;4;5;3;;;;5;6;;4;4;5;5;;;4;3;2;4;5;2;3;3;4;3;3;6;6;5;4;4;3;4;5;4;4;4;4;3;5;7
24;7;6;5;4;3;5;3;5;5;4;2;2;2;2;2;3;3;3;4;4;2;4;4;5;6;2;5;5;3;3;5;4;6;4;3;3;4;3;5;6;5;4;3;4;4;4;5;5;5;6;;5;4;2;4;4;5;5;4;5;5;5;4;3;4;4;5;4;5;4;6;5;5;6
25;4;5;5;6;4;5;4;5;4;6;5;3;4;6;3;3;5;5;3;4;5;;6;6;6;4;6;5;4;5;3;6;7;4;3;6;4;5;6;6;6;5;3;6;6;6;7;7;2;7;6;5;3;1;2;3;2;3;2;6;6;4;5;5;;3;3;3;3;5;7;4;5;7
27;7;6;4;3;3;4;2;2;7;4;3;4;5;4;4;3;5;6;4;2;3;4;5;6;5;5;5;6;4;3;6;5;7;6;6;7;4;5;6;5;5;4;3;4;4;4;5;5;6;5;5;5;5;5;5;4;6;2;2;5;4;4;3;3;4;4;4;2;3;2;3;3;3;6
30;4;;5;;;;;6;;6;5;;5;5;;4;2;5;5;4;3;5;5;6;6;5;5;6;3;3;6;5;4;2;2;;5;6;5;6;5;4;4;4;5;3;5;;3;4;4;;4;5;4;5;5;5;3;;5;5;6;6;5;6;6;5;5;2;2;;4;5
